recordingId,trackId,initialFrame,finalFrame,numFrames,width,length,class
1012,1,0,1834,1834,2.157990071282358,5.179560886361232,car
1012,3,0,782,782,2.12760729549969,5.272427808288156,car
1012,4,0,387,387,2.418372341,5.1822264449999995,car
1012,6,0,315,315,2.213945574301751,5.526637396339548,car
1012,9,0,1834,1834,0,0,pedestrian
1012,10,0,393,393,2.292742609,5.307856177,car
1012,7,0,444,444,2.2354503819571376,5.2898919473010695,car
1012,11,0,506,506,2.386964908,5.0566942506710895,car
1012,17,0,638,638,2.3249987365844307,4.869772873999501,car
1012,20,0,710,710,2.261335176,4.554186085205363,car
1012,52,0,216,216,2.3607862438644487,5.0663411849861975,car
1012,53,0,72,72,2.2308122839879805,5.561333237740935,car
1012,13,0,560,560,2.167340455144707,5.057474484320336,car
1012,8,0,1834,1834,0,0,pedestrian
1012,5,6,1834,1828,0,0,pedestrian
1012,21,225,785,560,2.230148911137712,5.151202015235983,car
1012,16,297,557,260,2.230148911137712,4.460297822275424,car
1012,18,336,635,299,2.26155327265634,5.245887550808294,car
1012,43,351,1669,1318,0,0,pedestrian
1012,12,354,503,149,0,0,pedestrian
1012,15,384,914,530,0,0,bicycle
1012,19,480,1226,746,0,0,pedestrian
1012,23,486,965,479,2.230148911137712,4.868253428245763,car
1012,22,515,746,231,2.324150042,5.527708208,car
1012,24,551,959,408,0,0,bicycle
1012,40,593,1525,932,2.2563131344560783,5.410289296992438,car
1012,25,659,884,225,2.3260591693586483,4.904489645205991,car
1012,27,698,1043,345,2.292742609,4.899660211815266,car
1012,26,716,932,216,0,0,bicycle
1012,28,755,1100,345,2.261335176,4.554186085205363,car
1012,29,812,1058,246,2.261335176,4.428448052999999,car
1012,30,827,1157,330,2.2622074364667686,5.245887550808294,car
1012,31,881,1127,246,2.2308122839879805,4.964858557493161,car
1012,32,920,1145,225,2.324362244697726,5.2768226287653235,car
1012,41,923,1516,593,2.26155327265634,5.258564806119454,car
1012,33,938,1175,237,2.2929577183131347,5.308692403722963,car
1012,34,953,1205,252,2.355557475,4.74262637998226,car
1012,35,989,1226,237,2.449981095426481,4.680129074294522,car
1012,36,1037,1412,375,2.333680060735153,4.667360121470306,car
1012,38,1064,1573,509,2.248430028754204,5.324555758774056,car
1012,37,1148,1379,231,2.450584960471701,5.497108335379106,car
1012,39,1175,1427,252,2.386964908,5.2768226287653235,car
1012,42,1304,1579,275,2.4813859802594416,5.559470515921587,car
1012,2,1385,1657,272,2.324362244697726,5.308692403722963,car
1012,44,1436,1711,275,2.072890578,3.9260547527219885,car
1012,45,1501,1777,276,2.293602925206262,4.900465447896435,car
1012,48,1534,1813,279,2.3249987365844307,5.277289947471905,car
1012,49,1645,1834,189,2.2929577183131347,5.3082278495847985,car
1012,46,1672,1834,162,0,0,pedestrian
1012,47,1687,1834,147,0,0,pedestrian
1012,50,1702,1834,132,2.073128499444456,3.957461188708101,car
1012,51,1822,1834,12,2.167340455144707,5.214485214808664,car
